id_vial,trayecto,pk,lat,lon
-998,Carretera Valenciana,20,38.995842532581285,-0.16715628790740758
A-7,E-15,331,39.505739742338875,-0.5149783254411553
CV-36,CV-36,5,39.44437279839943,-0.45850221756730475
CV-50,CV-50,91,39.60275835912496,-0.5988315796932777
CV-370,CV-370,19,39.57225261713407,-0.6534220236502355
CV-844,CV-844,3,38.34174390558069,-0.8598322374294556
CV-36,CV-36,1,39.44724038321387,-0.41723395481159
CV-36,CV-36,10,39.443988764531476,-0.5144469347019801
A-3,A-3,271,39.556546218617704,-1.2611519119863257
CV-380,CV-380,18,39.648424681850294,-0.7249673257920319
CV-940,CV-940,8,38.044808892190666,-0.7534959987383717
CV-379,CV-379,7,39.520284958855775,-0.7596896218915681
N-330 A,N-330 A,190,39.574267116923195,-1.2060562572385676
CV-36,CV-36,3,39.43971903319349,-0.43707528599801376
CV-331,CV-331,8,39.67725788827498,-0.4781867957964361
CV-91,CV-91,14,38.09570785387941,-0.7746607893523064
A-7,E-15,334,39.48945626414688,-0.540194430986809
CV-377,COLON,3,39.61338409206798,-0.7533267816530832
CV-873,HONDON DE LOS FRAILES,2,38.19626505667211,-0.8805131382659276
CV-36,CV-36,6,39.44471033457181,-0.46937283472666064
CV-36,CV-36,2,39.44155950632602,-0.4261463534282623
CV-920,CV-920,8,38.08514436506886,-0.811929736090129
CV-370,CV-370,4,39.51252525179953,-0.516447795295107
CV-50,CV-50,94,39.60890040469771,-0.5658410840456981
CV-455,CV-455,3,39.481145389963096,-1.1494660914978094
A-38,A-38,15,39.18391052653381,-0.2970155408667554
CV-36,CV-36,4,39.44159716404581,-0.4476815016060036
CV-36,CV-36,7,39.44567888282415,-0.48013355715532563
CV-36,CV-36,9,39.44491162869024,-0.5028993620606215
CV-844,CV-844,2,38.349956469990815,-0.8633550666224413
CV-36,CV-36,8,39.44431840000942,-0.49153595223655383
CV-379,CV-379,13,39.56108667129927,-0.7988915836421484
N-340,N-340,711,38.25141472266501,-0.7829206602850851
AP-7,E-15,725,38.22012401697526,-0.8134637491433231
CV-377,COLON,4,39.615595427101425,-0.7636298916600431
CV-600,CV-600,16,39.043335045320404,-0.3454925799348119
CV-95,CV-95,14,38.014963476960666,-0.8231843162851996
CV-377,COLON,2,39.61224718263828,-0.7439654013657271
CV-95,CV-95,12,38.02742408746985,-0.839597010760947
CV-850,CV-850,1,38.34200868631553,-0.6650386995484038
CV-30,CV-30,0,39.48688000601912,-0.44018041315208567
CV-935,CV-935,7,38.038164940097275,-0.7747064956953076
CV-310,CV-310,13,39.622876821487935,-0.43797536884179705
CV-731,CV-731,8,38.81989324564861,0.005707351395047232
A-3,A-3,273,39.56149590900854,-1.2391871447754665
CV-50,CV-50,93,39.604197123759626,-0.5755637590757381
CV-166,CV-166,15,40.31354070689849,-0.14484586899422916
CV-365,CV-365,1,39.5082284000268,-0.4343371584368992
CV-675,CV-675,0,38.972410409453296,-0.20196156684191408
CV-400,CV-400,2,39.42741441333024,-0.4038954801326071
CV-675,CV-675,5,38.97734866758197,-0.2515385910754385
A-7,E-15,295,39.72607993740662,-0.2476131190812133
N-225,N-225,8,39.782067025700506,-0.310881110196945
CV-134,CV-134,2,40.42697411078336,0.15542958456642436
CV-720,CV-720,41,38.75100993452074,-0.042486086327136026
CV-185,CV-185,3,39.90276146219269,-0.08489228095839776
CV-500,CV-500,7,39.37215788271752,-0.33028321757840773
CV-379,CV-379,14,39.567534015702634,-0.8030361453843418
CV-777,CV-777,2,38.442256962143944,-0.41574641158951975
CV-767,CV-767,6,38.53765114582422,-0.17344582335182696
CV-833,CV-833,4,38.511802124081505,-0.8117987416693984
CV-379,CV-379,12,39.55399651028678,-0.7933025409372307
A-33,A-33,85,38.77401687965592,-0.8930395035587866
CV-723,CV-723,9,38.851881642266086,0.005424353424623358
CV-920,CV-920,7,38.08273720577396,-0.8227346922894754
A-38,A-38,36,39.01183448367111,-0.2053049962903387
CV-10,CV-10,14,39.984442754223934,-0.1284832044710622
CV-300,DE LLÍRIA,9,39.54448938654282,-0.34174975191124535
N-332,N-332,196,38.814604602517,0.029041311615251877
CV-858,CV-858,3,38.134347135062924,-0.7214305309093768
CV-183,CV-183,2,39.9527751693067,-0.033743207176237536
CV-725,CV-725,2,38.82730951203578,0.039423803901073556
A-7,E-15,353,39.35648211613405,-0.43819272942759435
CV-10,CV-10,18,40.01131495608519,-0.10333282483185878
CV-725,CV-725,1,38.820577516102894,0.032448435983517536
CV-905,CV-905,1,38.06318897029606,-0.7322522586396907
CV-91,CV-91,10,38.08807166247877,-0.8181943435329858
CS-22,CS-22,3,39.96312397482514,-0.05000935154373023
AP-7,E-15,359,40.45269736898129,0.4019537800439367
A-31,A-31,176,38.691904572844535,-0.9111770661575115
A-3,A-3,314,39.44028551214203,-0.8256028225751437
CV-380,CV-380,17,39.63977428403793,-0.7222275922445953
CV-10,CV-10,20,40.023059169603584,-0.08917688923846412
CV-930,CV-930,2,38.116429808174445,-0.9390197213022546
AP-7,E-15,452,39.83313248687044,-0.13582695514498788
AP-7,E-15,389,40.24517955231606,0.22487045274679882
V-31,V-31,0,39.3419540027961,-0.4288278676008969
CV-10,CV-10,32,40.100043471420065,0.003662441667979973
CV-370,CV-370,15,39.567058950305494,-0.6094132106466018
AP-7,E-15,401,40.15765051550167,0.1530178657090808
AP-7,E-15,382,40.302703648515205,0.23706110094741584
AP-7,E-15,355,40.484479952657146,0.41652810255941675
CV-149,CV-149,2,40.01530454783632,-0.021181136326076353
N-340,N-340,1048,40.45939366446803,0.4330233533745875
N-III,N-III,270,39.517636709418,-1.1516100099394009
N-340,N-340,1049,40.46669017929083,0.4388373791063825
CV-729,CV-729,8,38.828482638254194,0.005270569690967796
N-340,N-340,1042,40.42092150994682,0.38942966077194235
CV-345,CV-345,3,39.713315219004684,-0.7415097201034139
N-340,N-340,979,40.02172064999698,-0.03946229062616861
AP-7,E-15,353,40.502721369425515,0.41581861973030737
CV-245,CV-245,2,39.707270381484165,-0.7058225456261681
CV-865,CV-865,0,38.261963345006976,-0.6765359138438123
CV-380,CV-380,15,39.62311698728727,-0.7199350635910128
CV-245,CV-245,4,39.72289965963018,-0.6976258683465772
CV-380,CV-380,16,39.63160547208964,-0.7175363893731475
A-7,E-15,291,39.75684979014008,-0.23599003513372624
CV-10,CV-10,4,39.91739213311048,-0.1957877434359462
CV-10,CV-10,27,40.066557991304336,-0.03421228287644753
N-340,N-340,1043,40.42660993596322,0.39769454696221507
CV-147,CV-147,4,40.05289743468751,0.005255523552764499
CV-200,CV-200,10,39.875835082370145,-0.39481885937750816
CV-370,CV-370,5,39.51854105408135,-0.524222931127122
CV-166,CV-166,6,40.268690235018255,-0.10735483598784935
CV-416,CV-416,8,39.410501292497365,-0.6453757624355152
CV-133,CV-133,5,40.29573842566474,0.17365039279927574
AP-7,E-15,348,40.547189487956054,0.4201114243623458
AP-7,E-15,548,39.17928104053943,-0.39103852403051204
AP-7,E-15,351,40.52044918956921,0.4160742489924953
CV-380,CV-380,14,39.6146306686656,-0.7221076381555107
AP-7,E-15,769,37.89151280320185,-0.7710626968123403
A-3,A-3,307,39.45700123468311,-0.897248690194236
CV-30,CV-30,4,39.499605039900594,-0.39937421997472655
CV-33,CV-33,3,39.401694704789236,-0.42372461245749427
N-332,N-332,223,38.96489028157002,-0.20011030736167945
CV-10,CV-10,17,40.00760952449668,-0.1136139498648683
CV-91,CV-91,11,38.091747633677045,-0.8077718368650141
CV-166,CV-166,14,40.307309571976276,-0.13731279734650956
CV-770,CV-770,13,38.59490883534094,-0.2742317003532022
N-325,CV-84,14,38.29460836282646,-0.7840792506285317
CV-680,CV-680,1,38.951979516972386,-0.18071192112903636
CV-952,CV-952,7,37.94579010945562,-0.8429970425176665
A-38,A-38,37,39.00487564976538,-0.19810889203118198
CV-95,CV-95,13,38.02208610161118,-0.8302072200126568
CV-675,CV-675,9,39.000620512453594,-0.2715185360817628
A-7,E-15,312,39.604387073036285,-0.35037654043215166
CV-381,CV-381,1,39.51827925811588,-0.7474304870525789
CV-819,CV-819,4,38.442295784363296,-0.4677310400018407
CV-35,CV-35,45,39.70169750967797,-0.7776196361361004
CV-14,CV-14,0,40.607528021672636,-0.0933093098938541
N-III,N-III,247,39.54192432662636,-1.3833801620676225
CV-12,CV-12,22,40.59753732872985,-0.0862920448649891
CV-213,CV-213,0,39.86770873645609,-0.5098209526916632
CV-355,CV-355,1,39.93356404193444,-1.1324757884159897
CV-149,CV-149,5,40.02507335407588,0.011381361793573956
V-30,V-30,1,39.430363885361736,-0.35230222083115814
CV-25,DIPUTACION,21,39.772870252135135,-0.5265255938739918
A-23,A-23,20,39.79329368786936,-0.4013105568116656
A-23,A-23,65,40.06463622404778,-0.7178441277599769
N-III,N-III,237,39.53945695722855,-1.4899205609202435
N-238,N-238,2,40.498028970671385,0.46343248922526026
CV-170,CV-170,33,40.29325748271371,-0.2733479402351385
CV-350,CV-350,5,39.92242749033133,-0.9902251745587706
CV-158,Carretera Valenciana,0,40.11949855063851,-0.05282497035879244
CV-35,CV-35,31,39.648654988520626,-0.6362364413344554
V-23,V-23,1,39.63494974875536,-0.2957258089405094
N-234,N-234,68,40.07672926328902,-0.7281830776697122
N-III,N-III,273,39.500364069300296,-1.124382520835967
N-III,N-III,304,39.42958361578923,-0.802597491792923
AP-7,E-15,402,40.1499212701525,0.1472308577970132
CS-22,CS-22,10,39.982382123017715,0.006718390018783246
V-30,V-30,4,39.43622467629389,-0.3863530285155202
CV-310,CV-310,10,39.605972825021325,-0.4444557573387652
N-232,N-232,43,40.550407335248075,0.01838711770494744
CV-336,CV-336,12,39.59002627906924,-0.4649025951540978
CV-341,CV-341,0,39.74987518507204,-0.8306816232286096
V-30,V-30,9,39.468448425239714,-0.42295564431687754
CV-300,DE LLÍRIA,7,39.56035541850466,-0.3318419624006629
V-31,V-31,4,39.37425492540837,-0.4200224563315452
CV-336,CV-336,1,39.5468877975814,-0.561540596745462
N-340 A,N-340 A,1046,40.43115127985798,0.4368352071918814
CV-336,CV-336,8,39.56570321067118,-0.49523078885948096
CV-13,CV-13,3,40.202936907347755,0.07260090016759597
